source,target,tie_type,sub_type,confidence,rationale
Bartleby,Narrator,professional,employer_employee,high,The narrator hires Bartleby as a scrivener and pays him for copying.
Bartleby,Narrator,friendship,acquaintance,medium,The narrator repeatedly calls Bartleby his friend and tries to aid him.
Bartleby,Narrator,adversarial,institutional_pressure,high,"The narrator dismisses Bartleby, moves offices, and tries to make him leave."
Narrator,Turkey,professional,employer_employee,high,Turkey is one of the narrator’s copyists and performs legal copying work.
Narrator,Turkey,adversarial,institutional_pressure,medium,The narrator remonstrates with Turkey and tries to reduce his afternoon labor.
Narrator,Nippers,professional,employer_employee,high,Nippers is the narrator’s second copyist and writes legal documents for him.
Narrator,Nippers,adversarial,institutional_pressure,low,Nippers causes the narrator annoyance through irritability and professional overreach.
Ginger Nut,Narrator,professional,employer_employee,high,"Ginger Nut works as office boy, errand runner, cleaner, and student at law."
Ginger Nut,Ginger Nut's Father,family,parent_child,high,Ginger Nut’s father sends him to the office to improve his prospects.
Ginger Nut's Father,Narrator,professional,client_service,medium,Ginger Nut’s father arranges his son’s placement in the narrator’s office.
Nippers,Turkey,professional,colleagues,high,Turkey and Nippers work together as copyists in the narrator’s office.
Nippers,Turkey,friendship,acquaintance,medium,They mutually confer nicknames and dine together on at least one occasion.
Ginger Nut,Turkey,professional,colleagues,high,Ginger Nut serves Turkey by fetching cakes and apples during office work.
Ginger Nut,Nippers,professional,colleagues,high,Ginger Nut serves Nippers by fetching cakes and apples during office work.
Bartleby,Turkey,professional,colleagues,high,Bartleby joins Turkey as a fellow copyist in the narrator’s office.
Bartleby,Turkey,adversarial,rivals,medium,Turkey threatens to black Bartleby’s eyes over his refusals.
Bartleby,Nippers,professional,colleagues,high,Bartleby and Nippers are both scriveners in the same office.
Bartleby,Nippers,adversarial,rivals,high,Nippers says he would kick Bartleby out and curses his stubbornness.
Bartleby,Ginger Nut,professional,client_service,medium,Ginger Nut buys and delivers ginger-nuts to Bartleby for a fee.
John Jacob Astor,Narrator,professional,client_service,high,The narrator worked professionally for John Jacob Astor and values his opinion.
Cleaning Woman,Narrator,professional,servant_employer,high,"The woman sweeps, dusts, scrubs the office, and keeps one of its keys."
Cleaning Woman,Turkey,professional,colleagues,low,Both have office-related keyholding or maintenance roles around the narrator’s chambers.
Dun,Nippers,professional,client_service,medium,Nippers receives ambiguous visitors whom he calls clients.
Dun,Nippers,adversarial,institutional_pressure,low,One supposed client appears to be a dun presenting a bill.
Ginger Nut,Post Office Vendors,professional,client_service,medium,Ginger Nut frequently buys cakes and apples from stalls near the Post Office and Custom House.
Narrator,Professional Friends,professional,colleagues,high,The narrator’s legal acquaintances visit his chambers and comment on Bartleby.
Bartleby,Professional Friends,adversarial,social_judgment,medium,Their remarks about Bartleby pressure the narrator to remove him.
Bartleby,Visiting Attorney,professional,institutional,medium,The attorney seeks information from Bartleby about the narrator’s whereabouts.
