id,name,role,is_isolate
Narrator,Unnamed Narrator,A lawyer and former Master in Chancery who employs Bartleby.,0
Bartleby,Bartleby,"A pale, sedentary scrivener who eventually refuses to perform any work.",0
John Jacob Astor,John Jacob Astor,A wealthy man and former client of the narrator.,0
Turkey,Turkey,An elderly English copyist who becomes rash and erratic in the afternoons.,0
Nippers,Nippers,"A young, ambitious copyist suffering from indigestion and irritability.",0
Ginger Nut,Ginger Nut,A twelve-year-old office boy and errand runner.,0
Ginger Nut's Father,Ginger Nut's Father,A carman who sent his son to the office as a student at law.,0
Dun,The Dun,A man posing as Nippers' client who is actually a debt collector.,0
Cleaning Woman,The Cleaning Woman,A woman residing in the attic who cleans the narrator's chambers.,0
Lawyer Tenant,The Lawyer Tenant,A tenant at No.—Wall-street who is distressed by Bartleby's presence.,0
Landlord,The Landlord,The portly owner of the building at No.—Wall-street.,0
Grub Man,Mr. Cutlets,A prison food provider at the Tombs.,0
Mrs. Cutlets,Mrs. Cutlets,The wife of the grub-man.,0
Monroe Edwards,Monroe Edwards,A known forger mentioned by the grub-man.,1
Turnkeys,The turnkeys,Prison officers at the Tombs who interact with the narrator and Bartleby.,1
